Event_ID,Article_ID,Actor_Normalized,Actor_Type,Victim_Normalized,Victim_Type,Location_Country,Location_City,Location_Coordinates,Date_Normalized,Taxonomy_L1,Taxonomy_L2,Taxonomy_L3,Weapon_Category,Deaths,Injuries,Severity,Event_Description,Actor_Confidence,Victim_Confidence,Location_Confidence,Date_Confidence,Classification_Confidence,Flagged_for_Review,Notes,Annotator_Name,PERPETRATOR,VICTIM,TARGET,ORGANIZATION,GOVERNMENT,EVENT_TYPE,ACTION,WEAPON,VIOLENCE_TYPE,DATE,TIME,DURATION,FREQUENCY,COUNTRY,REGION,CITY,DISTRICT,FACILITY,GEOGRAPHIC,COORDINATES,CASUALTIES,INJURED,DISPLACEMENT,DAMAGE,MOTIVE,TRIGGER
SYNTH_V2_00000,SYNTH_V2_00000,Boko Haram insurgents,Armed Group,12 farmers,,Nigeria,Kaduna,"coordinates 11.3N, 42.1E",between December 4th and December 9th,Violence,attacks,,improvised explosive devices,,,High,"World Food Programme has reported a devastating attacks in Nigeria where Boko Haram insurgents executed government buildings in Kaduna, Kaduna district, Yobe State on between December 4th and December 9th. The before sunrise assault using improvised explosive devices resulted in 49 people killed, 75 wounded, and displacing thousands of families. The ethnic violence targeted 12 farmers in retaliation for previous attacks. Cameroonian soldiers found torching hundreds of structures near market in the mountainous terrain at coordinates 11.3N, 42.1E. This brief skirmish is part of weekly incursions after disputed election results.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,Boko Haram insurgents,12 farmers,government buildings,World Food Programme,Cameroonian soldiers,attacks,executed,improvised explosive devices,ethnic violence,between December 4th and December 9th,before sunrise,brief skirmish,weekly incursions,Nigeria,Yobe State,Kaduna,Kaduna district,market,mountainous terrain,"coordinates 11.3N, 42.1E",49 people killed,75 wounded,displacing thousands of families,torching hundreds of structures,in retaliation for previous attacks,after disputed election results
SYNTH_V2_00001,SYNTH_V2_00001,Seleka and Anti-Balaka,Armed Group,45 soldiers and police officers,,DRC,El Fasher,"coordinates 11.3N, 42.1E","January 24, 2023",Violence,offensive,,RPG launchers,,,High,"World Food Programme has reported a devastating offensive in DRC where Seleka and Anti-Balaka overran churches in El Fasher, El Fasher district, Amhara Region on January 24, 2023. The late at night assault using RPG launchers resulted in 51 people killed, 114 wounded, and causing mass displacement. The militant violence targeted 45 soldiers and police officers in retaliation for previous attacks. Somali National Army found razing dozens of houses near primary school in the mountainous terrain at coordinates 11.3N, 42.1E. This three-hour assault is part of daily raids after months of tensions.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,Seleka and Anti-Balaka,45 soldiers and police officers,churches,World Food Programme,Somali National Army,offensive,overran,RPG launchers,militant violence,"January 24, 2023",late at night,three-hour assault,daily raids,DRC,Amhara Region,El Fasher,El Fasher district,primary school,mountainous terrain,"coordinates 11.3N, 42.1E",51 people killed,114 wounded,causing mass displacement,razing dozens of houses,in retaliation for previous attacks,after months of tensions
SYNTH_V2_00002,SYNTH_V2_00002,TPLF and OLA,Armed Group,22 students,,Niger,Juba-Bor,"GPS location 6.8S, 39.2E","October 21st, 2021",Violence,ambush,,RPG launchers,,,High,"Red Cross has reported a devastating ambush in Niger where TPLF and OLA overran farming villages in Juba-Bor, Juba-Bor district, Ituri Province on October 21st, 2021. The at dawn assault using RPG launchers resulted in 127 people killed, 56 wounded, and causing mass displacement. The ethnic violence targeted 22 students over grazing rights. Kenyan Defense Forces found burning the village market near market in the Sahel belt at GPS location 6.8S, 39.2E. This hours-long battle is part of persistent attacks following a military offensive.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,TPLF and OLA,22 students,farming villages,Red Cross,Kenyan Defense Forces,ambush,overran,RPG launchers,ethnic violence,"October 21st, 2021",at dawn,hours-long battle,persistent attacks,Niger,Ituri Province,Juba-Bor,Juba-Bor district,market,Sahel belt,"GPS location 6.8S, 39.2E",127 people killed,56 wounded,causing mass displacement,burning the village market,over grazing rights,following a military offensive
SYNTH_V2_00003,SYNTH_V2_00003,Boko Haram and Ansaru,Armed Group,38 women,,Chad,Kismayo,"coordinates 9.5N, 7.8E","October 13th, 2022",Violence,execution,,AK-47 rifles,,,High,"UNICEF has reported a devastating execution in Chad where Boko Haram and Ansaru raided mosques in Kismayo, Kismayo district, Yobe State on October 13th, 2022. The overnight assault using AK-47 rifles resulted in 147 people killed, 88 wounded, and displacing over 15,000 residents. The terrorist attack targeted 38 women due to ethnic tensions. Malian Armed Forces found razing dozens of houses near government building in the dense forest at coordinates 9.5N, 7.8E. This daylong engagement is part of persistent attacks following the breakdown of a ceasefire.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,Boko Haram and Ansaru,38 women,mosques,UNICEF,Malian Armed Forces,execution,raided,AK-47 rifles,terrorist attack,"October 13th, 2022",overnight,daylong engagement,persistent attacks,Chad,Yobe State,Kismayo,Kismayo district,government building,dense forest,"coordinates 9.5N, 7.8E",147 people killed,88 wounded,"displacing over 15,000 residents",razing dozens of houses,due to ethnic tensions,following the breakdown of a ceasefire
SYNTH_V2_00004,SYNTH_V2_00004,Seleka and Anti-Balaka,Armed Group,200 women and children,,Cameroon,Chibok,"coordinates 9.5N, 7.8E","December 9th, 2024",Violence,attacks,,heavy machine guns,,,High,"On December 9th, 2024, Seleka and Anti-Balaka conducted attacks on IDP camps in Mopti Region, Cameroon, near Chibok, using heavy machine guns, resulting in 71 people killed and 165 wounded. The militant violence stormed 200 women and children, in retaliation for previous attacks. Cameroonian soldiers responded but found razing dozens of houses. UNICEF reported the daylong engagement caused forcing 10,000 people to flee from the river banks at coordinates 9.5N, 7.8E. The incident occurred around midnight, following a military offensive. This is part of repeated attacks affecting the health center in Chibok district.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,Seleka and Anti-Balaka,200 women and children,IDP camps,UNICEF,Cameroonian soldiers,attacks,stormed,heavy machine guns,militant violence,"December 9th, 2024",around midnight,daylong engagement,repeated attacks,Cameroon,Mopti Region,Chibok,Chibok district,health center,river banks,"coordinates 9.5N, 7.8E",71 people killed,165 wounded,"forcing 10,000 people to flee",razing dozens of houses,in retaliation for previous attacks,following a military offensive
SYNTH_V2_00005,SYNTH_V2_00005,Al Shabaab and Al Qaeda,Armed Group,67 residents,,Mali,Bamako,"coordinates 9.5N, 7.8E","March 22nd, 2023",Violence,massacre,,machetes and knives,,,High,"On March 22nd, 2023, Al Shabaab and Al Qaeda conducted massacre on police stations in South Kivu, Mali, near Bamako, using machetes and knives, resulting in 28 people killed and 181 wounded. The militant violence bombarded 67 residents, in retaliation for previous attacks. Ugandan military responded but found burning the village market. ICRC reported the three-hour assault caused forcing 10,000 people to flee from the mountainous terrain at coordinates 9.5N, 7.8E. The incident occurred in the evening, following the breakdown of a ceasefire. This is part of weekly incursions affecting the hospital in Bamako district.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,Al Shabaab and Al Qaeda,67 residents,police stations,ICRC,Ugandan military,massacre,bombarded,machetes and knives,militant violence,"March 22nd, 2023",in the evening,three-hour assault,weekly incursions,Mali,South Kivu,Bamako,Bamako district,hospital,mountainous terrain,"coordinates 9.5N, 7.8E",28 people killed,181 wounded,"forcing 10,000 people to flee",burning the village market,in retaliation for previous attacks,following the breakdown of a ceasefire
SYNTH_V2_00006,SYNTH_V2_00006,Boko Haram and ISWAP,Armed Group,34 militia members,,Burkina Faso,Mopti,"coordinates 11.3N, 42.1E","May 22nd, 2023",Violence,attacks,,mortars and artillery,,,High,"Following the collapse of peace talks, Boko Haram and ISWAP launched a attacks on mosques near market in Mopti, Gao Region, Burkina Faso on May 22nd, 2023 before sunrise. Armed with mortars and artillery, fighters raided 34 militia members, leaving 37 people killed and 83 wounded. The prolonged fighting of communal violence was over grazing rights. Kenyan Defense Forces confirmed destroying over 200 homes in the lake shores at coordinates 11.3N, 42.1E. Save the Children says causing mass displacement as repeated attacks continue in Mopti district.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,Boko Haram and ISWAP,34 militia members,mosques,Save the Children,Kenyan Defense Forces,attacks,raided,mortars and artillery,communal violence,"May 22nd, 2023",before sunrise,prolonged fighting,repeated attacks,Burkina Faso,Gao Region,Mopti,Mopti district,market,lake shores,"coordinates 11.3N, 42.1E",37 people killed,83 wounded,causing mass displacement,destroying over 200 homes,over grazing rights,following the collapse of peace talks
SYNTH_V2_00007,SYNTH_V2_00007,Al Shabaab and Al Qaeda,Armed Group,85 civilians including women and children,,Nigeria,Tripoli-Benghazi,"GPS location 6.8S, 39.2E",between 3rd and 7th of April,Violence,attack,,improvised explosive devices,,,High,"World Food Programme has reported a devastating attack in Nigeria where Al Shabaab and Al Qaeda looted police stations in Tripoli-Benghazi, Tripoli-Benghazi district, Yobe State on between 3rd and 7th of April. The overnight assault using improvised explosive devices resulted in 49 people killed, 68 wounded, and causing mass displacement. The armed violence targeted 85 civilians including women and children for control of territory. Malian Armed Forces found razing dozens of houses near primary school in the border region at GPS location 6.8S, 39.2E. This three-hour assault is part of ongoing violence after months of tensions.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,Al Shabaab and Al Qaeda,85 civilians including women and children,police stations,World Food Programme,Malian Armed Forces,attack,looted,improvised explosive devices,armed violence,between 3rd and 7th of April,overnight,three-hour assault,ongoing violence,Nigeria,Yobe State,Tripoli-Benghazi,Tripoli-Benghazi district,primary school,border region,"GPS location 6.8S, 39.2E",49 people killed,68 wounded,causing mass displacement,razing dozens of houses,for control of territory,after months of tensions
SYNTH_V2_00008,SYNTH_V2_00008,Boko Haram and ISWAP,Armed Group,67 residents,,Somalia,Beledweyne,"coordinates 11.3N, 42.1E",between 2nd and 3rd of June,Violence,execution,,machine guns,,,High,"Doctors Without Borders has reported a devastating execution in Somalia where Boko Haram and ISWAP stormed churches in Beledweyne, Beledweyne district, Mopti Region on between 2nd and 3rd of June. The in the evening assault using machine guns resulted in 76 people killed, 72 wounded, and causing mass displacement. The communal violence targeted 67 residents in retaliation for previous attacks. Sudanese Armed Forces found destroying over 200 homes near market in the dense forest at coordinates 11.3N, 42.1E. This brief skirmish is part of persistent attacks following the breakdown of a ceasefire.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,Boko Haram and ISWAP,67 residents,churches,Doctors Without Borders,Sudanese Armed Forces,execution,stormed,machine guns,communal violence,between 2nd and 3rd of June,in the evening,brief skirmish,persistent attacks,Somalia,Mopti Region,Beledweyne,Beledweyne district,market,dense forest,"coordinates 11.3N, 42.1E",76 people killed,72 wounded,causing mass displacement,destroying over 200 homes,in retaliation for previous attacks,following the breakdown of a ceasefire
SYNTH_V2_00009,SYNTH_V2_00009,Seleka and Anti-Balaka,Armed Group,75 students and teachers,,Niger,Jos-Bauchi,"coordinates 4.2N, 18.6E","February 1, 2023",Violence,clashes,,automatic weapons,,,High,"On February 1, 2023, Seleka and Anti-Balaka conducted clashes on market areas in Plateau State, Niger, near Jos-Bauchi, using automatic weapons, resulting in 77 people killed and 49 wounded. The insurgent attack raided 75 students and teachers, for revenge. Ethiopian military responded but found razing dozens of houses. UNHCR reported the brief skirmish caused displacing over 15,000 residents from the highland region at coordinates 4.2N, 18.6E. The incident occurred late at night, following the collapse of peace talks. This is part of escalating raids affecting the IDP camp in Jos-Bauchi district.",0.99,0.99,0.99,0.99,0.99,False,Synthetic training data V2 - improved patterns,VioNER-Generator-V2,Seleka and Anti-Balaka,75 students and teachers,market areas,UNHCR,Ethiopian military,clashes,raided,automatic weapons,insurgent attack,"February 1, 2023",late at night,brief skirmish,escalating raids,Niger,Plateau State,Jos-Bauchi,Jos-Bauchi district,IDP camp,highland region,"coordinates 4.2N, 18.6E",77 people killed,49 wounded,"displacing over 15,000 residents",razing dozens of houses,for revenge,following the collapse of peace talks
